               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.039518,            0.013814,           0.0028372,             0.75701,             0.70054,             0.75219,             0.40033,            0.030001,             0.01011,           0.0020978,            0.006535,            0.006535,            0.006535
                  37,             0.03919,            0.013853,           0.0029456,             0.74507,             0.70577,             0.75397,             0.40087,            0.029954,            0.010085,           0.0020828,            0.006436,            0.006436,            0.006436
                  38,            0.038984,            0.013683,           0.0028072,             0.76518,             0.69893,              0.7512,             0.40204,            0.029918,            0.010103,           0.0022209,            0.006337,            0.006337,            0.006337
                  39,            0.038763,            0.013704,           0.0027985,             0.75754,             0.69648,             0.75411,             0.40266,            0.029898,            0.010129,           0.0021707,            0.006238,            0.006238,            0.006238
                  40,            0.038647,            0.013519,           0.0027796,             0.75981,             0.69911,             0.75576,             0.40432,            0.029899,             0.01011,           0.0021996,            0.006139,            0.006139,            0.006139
                  41,            0.038236,            0.013456,            0.002711,             0.76544,             0.69671,             0.75862,             0.40692,            0.029852,            0.010117,           0.0022288,             0.00604,             0.00604,             0.00604
                  42,            0.038276,            0.013471,           0.0026022,             0.75895,             0.71255,             0.75987,             0.40879,            0.029826,            0.010104,            0.002199,            0.005941,            0.005941,            0.005941
                  43,            0.038455,            0.013606,           0.0026011,             0.75458,             0.71682,             0.75923,             0.40834,            0.029794,            0.010089,           0.0021795,            0.005842,            0.005842,            0.005842
                  44,            0.038006,             0.01337,           0.0026184,              0.7611,             0.71106,             0.75716,             0.40896,            0.029831,            0.010093,           0.0022007,            0.005743,            0.005743,            0.005743
                  45,            0.037982,            0.013398,           0.0027056,             0.76419,             0.71055,             0.75872,              0.4097,            0.029801,            0.010067,            0.002162,            0.005644,            0.005644,            0.005644
                  46,            0.037914,            0.013261,           0.0026885,             0.76128,             0.71275,              0.7609,             0.41089,            0.029778,            0.010055,           0.0021444,            0.005545,            0.005545,            0.005545
                  47,            0.037805,            0.013325,           0.0026906,             0.76138,             0.71631,             0.76217,             0.41217,            0.029785,            0.010038,           0.0021553,            0.005446,            0.005446,            0.005446
                  48,            0.037425,            0.013087,           0.0024969,              0.7607,             0.71772,             0.76299,             0.41292,            0.029756,            0.010026,           0.0021531,            0.005347,            0.005347,            0.005347
                  49,            0.037394,            0.013178,           0.0025291,             0.76159,             0.71659,             0.76319,             0.41367,            0.029737,            0.010022,            0.002134,            0.005248,            0.005248,            0.005248
                  50,            0.037167,            0.013207,           0.0024929,             0.76101,             0.71608,             0.76228,             0.41522,            0.029715,            0.010031,           0.0021511,            0.005149,            0.005149,            0.005149
                  51,            0.036905,             0.01323,           0.0025228,             0.76585,             0.71502,             0.76226,             0.41625,            0.029681,             0.01004,           0.0021868,             0.00505,             0.00505,             0.00505
                  52,            0.036789,            0.013083,           0.0025784,               0.766,             0.71414,             0.76161,              0.4162,            0.029654,            0.010041,           0.0021887,            0.004951,            0.004951,            0.004951
                  53,            0.036718,            0.013088,           0.0023851,             0.76185,             0.71769,             0.76257,             0.41712,            0.029635,             0.01004,           0.0021912,            0.004852,            0.004852,            0.004852
                  54,            0.036603,            0.012943,           0.0024215,             0.76512,             0.71977,             0.76329,             0.41792,            0.029641,            0.010038,           0.0021799,            0.004753,            0.004753,            0.004753
                  55,            0.036426,            0.012847,           0.0024406,             0.76741,             0.72018,             0.76419,             0.41852,            0.029639,            0.010042,           0.0021726,            0.004654,            0.004654,            0.004654
                  56,            0.036297,            0.012925,           0.0023754,             0.76849,             0.71938,             0.76512,             0.41979,            0.029617,            0.010039,           0.0021678,            0.004555,            0.004555,            0.004555
                  57,            0.036358,            0.012854,           0.0023868,             0.77221,             0.71543,             0.76561,             0.41994,            0.029613,            0.010037,           0.0021739,            0.004456,            0.004456,            0.004456
                  58,            0.035942,            0.012707,           0.0025112,             0.76796,              0.7179,             0.76444,             0.41949,             0.02963,            0.010045,           0.0021889,            0.004357,            0.004357,            0.004357
                  59,            0.035692,            0.012607,           0.0023598,             0.76704,             0.71758,             0.76406,             0.41901,             0.02964,            0.010049,           0.0022001,            0.004258,            0.004258,            0.004258
                  60,            0.035545,            0.012634,           0.0023257,             0.76765,             0.71815,             0.76452,              0.4193,            0.029631,            0.010049,           0.0022032,            0.004159,            0.004159,            0.004159
                  61,            0.035267,            0.012511,           0.0022647,             0.76683,             0.71953,             0.76562,             0.41949,            0.029639,             0.01005,           0.0022046,             0.00406,             0.00406,             0.00406
                  62,            0.035372,            0.012626,           0.0024475,             0.76919,             0.71962,              0.7661,             0.41942,            0.029632,            0.010056,           0.0022065,            0.003961,            0.003961,            0.003961
                  63,            0.035074,            0.012491,           0.0022249,             0.76823,             0.72165,             0.76676,              0.4195,            0.029629,            0.010063,           0.0022139,            0.003862,            0.003862,            0.003862
                  64,            0.034974,            0.012486,           0.0022336,             0.77086,             0.72133,             0.76598,             0.41936,            0.029626,            0.010067,           0.0022237,            0.003763,            0.003763,            0.003763
                  65,            0.034851,            0.012391,           0.0022248,             0.77333,             0.71937,             0.76591,             0.41973,            0.029621,            0.010073,           0.0022253,            0.003664,            0.003664,            0.003664
                  66,            0.034854,            0.012144,            0.002298,             0.77389,             0.71797,             0.76553,             0.41996,            0.029631,            0.010079,           0.0022303,            0.003565,            0.003565,            0.003565
                  67,            0.034454,            0.012356,           0.0020896,             0.77352,             0.71749,             0.76453,             0.42035,            0.029641,            0.010081,           0.0022336,            0.003466,            0.003466,            0.003466
                  68,            0.034197,            0.012208,           0.0021812,             0.77326,             0.71709,              0.7644,             0.42057,            0.029641,            0.010083,           0.0022395,            0.003367,            0.003367,            0.003367
                  69,            0.034132,              0.0121,           0.0022332,             0.77226,              0.7191,             0.76433,             0.42024,            0.029631,            0.010084,            0.002245,            0.003268,            0.003268,            0.003268
                  70,             0.03409,            0.011996,           0.0021033,             0.77284,             0.71957,             0.76525,             0.42095,            0.029622,            0.010088,           0.0022431,            0.003169,            0.003169,            0.003169
                  71,            0.033876,            0.011992,           0.0021905,             0.77263,             0.72108,             0.76466,             0.42077,            0.029618,            0.010092,           0.0022441,             0.00307,             0.00307,             0.00307
                  72,            0.033477,            0.011953,           0.0019298,              0.7718,             0.72148,             0.76509,             0.42135,             0.02961,            0.010097,           0.0022449,            0.002971,            0.002971,            0.002971
