               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074572,            0.021954,            0.013347,             0.44699,             0.42899,             0.37785,             0.15333,             0.04159,            0.013317,           0.0034676,            0.070028,           0.0033302,           0.0033302
                   1,            0.055499,             0.01763,           0.0059978,             0.49116,             0.44182,             0.41592,             0.17239,            0.039485,            0.013215,           0.0029705,            0.039962,           0.0065976,           0.0065976
                   2,            0.053616,             0.01739,           0.0056823,             0.48253,              0.4805,             0.44503,             0.18893,            0.038265,            0.013682,           0.0033133,           0.0098299,            0.009799,            0.009799
                   3,            0.052117,            0.017204,            0.005539,             0.57348,             0.52204,             0.53551,               0.235,             0.03651,            0.012502,            0.002837,            0.009703,            0.009703,            0.009703
                   4,            0.049499,            0.016913,           0.0050222,             0.58548,             0.55463,             0.56283,             0.24899,            0.035168,            0.011804,           0.0026147,            0.009703,            0.009703,            0.009703
                   5,            0.048159,            0.016473,           0.0046881,             0.61117,             0.55991,             0.57893,              0.2559,            0.034886,            0.011965,           0.0024624,            0.009604,            0.009604,            0.009604
                   6,            0.047216,            0.016289,           0.0045588,             0.62063,             0.54422,             0.58388,             0.26762,            0.034376,            0.011515,           0.0023559,            0.009505,            0.009505,            0.009505
                   7,            0.046326,            0.015952,           0.0042347,             0.63931,             0.57292,             0.61151,             0.28526,            0.033814,            0.011663,             0.00238,            0.009406,            0.009406,            0.009406
                   8,             0.04619,            0.015736,           0.0042976,             0.63276,             0.59272,             0.61664,             0.28659,            0.033141,             0.01158,           0.0023608,            0.009307,            0.009307,            0.009307
                   9,             0.04528,            0.015591,            0.004194,             0.63569,             0.60928,             0.64043,             0.30723,            0.032663,            0.011367,            0.002217,            0.009208,            0.009208,            0.009208
                  10,            0.045034,            0.015451,           0.0041019,             0.65284,             0.60452,             0.64225,             0.30837,            0.032527,            0.011377,           0.0022739,            0.009109,            0.009109,            0.009109
                  11,            0.044477,            0.015258,           0.0038477,             0.63947,              0.6062,              0.6422,             0.30907,            0.032283,            0.011201,           0.0023811,             0.00901,             0.00901,             0.00901
                  12,            0.044082,            0.015263,           0.0038258,             0.65448,             0.62702,             0.65857,             0.31996,            0.031878,            0.010925,           0.0020896,            0.008911,            0.008911,            0.008911
                  13,            0.043823,             0.01533,           0.0037582,             0.69201,             0.63007,             0.67826,             0.33224,             0.03186,            0.010964,           0.0020418,            0.008812,            0.008812,            0.008812
                  14,            0.043393,            0.015099,            0.003737,             0.66764,             0.62834,             0.66746,             0.32551,            0.032019,            0.011027,           0.0020845,            0.008713,            0.008713,            0.008713
                  15,            0.043135,            0.014762,           0.0036725,             0.68792,             0.63403,             0.68331,             0.33583,            0.031778,            0.011094,           0.0021851,            0.008614,            0.008614,            0.008614
                  16,            0.042607,            0.014885,           0.0035606,             0.69815,              0.6314,             0.68734,             0.33975,            0.031114,            0.010971,           0.0020484,            0.008515,            0.008515,            0.008515
                  17,            0.042339,            0.014808,           0.0034889,             0.69335,             0.63045,             0.68674,               0.339,            0.031193,            0.010785,           0.0024022,            0.008416,            0.008416,            0.008416
                  18,            0.042146,              0.0147,            0.003611,             0.71556,             0.65224,              0.7066,             0.35602,            0.030993,            0.010697,            0.002048,            0.008317,            0.008317,            0.008317
                  19,            0.042108,            0.014714,           0.0034026,             0.69612,             0.65291,             0.70185,             0.35527,            0.030667,            0.010596,           0.0020094,            0.008218,            0.008218,            0.008218
                  20,            0.041796,            0.014541,           0.0032718,              0.7061,             0.64155,             0.69907,             0.35509,             0.03063,            0.010629,           0.0020626,            0.008119,            0.008119,            0.008119
                  21,            0.041651,            0.014428,           0.0033161,             0.70392,             0.65715,             0.71213,             0.36611,            0.030331,            0.010696,           0.0021183,             0.00802,             0.00802,             0.00802
                  22,            0.041522,            0.014364,           0.0033216,             0.71684,             0.65734,             0.72079,             0.36839,            0.030415,            0.010473,           0.0021726,            0.007921,            0.007921,            0.007921
                  23,            0.041141,            0.014448,           0.0032312,             0.72815,             0.67424,             0.72901,             0.37825,            0.030158,            0.010513,           0.0019245,            0.007822,            0.007822,            0.007822
                  24,            0.041164,            0.014386,           0.0031712,              0.7159,             0.66661,             0.71804,             0.36829,            0.030238,            0.010523,           0.0019492,            0.007723,            0.007723,            0.007723
                  25,             0.04091,            0.014416,           0.0031911,             0.72937,             0.66954,             0.73054,             0.37725,            0.030022,            0.010485,           0.0019492,            0.007624,            0.007624,            0.007624
                  26,            0.040637,            0.014382,           0.0031748,             0.72558,             0.66885,             0.72957,             0.38089,            0.029983,            0.010448,           0.0020028,            0.007525,            0.007525,            0.007525
                  27,            0.040375,            0.014156,           0.0031796,             0.72907,             0.67219,             0.73129,             0.37979,             0.02996,             0.01043,           0.0019417,            0.007426,            0.007426,            0.007426
                  28,            0.040272,            0.014265,           0.0029501,             0.72064,             0.68336,             0.73551,              0.3813,             0.02972,            0.010418,             0.00209,            0.007327,            0.007327,            0.007327
                  29,            0.040017,            0.014053,           0.0031205,             0.73181,             0.68018,             0.73731,             0.38498,            0.029885,            0.010409,           0.0020559,            0.007228,            0.007228,            0.007228
                  30,            0.039895,             0.01399,           0.0030053,             0.73127,             0.68511,             0.73891,              0.3882,            0.029917,            0.010375,           0.0020047,            0.007129,            0.007129,            0.007129
                  31,            0.039809,            0.013987,           0.0030518,              0.7183,             0.69281,             0.74173,             0.39042,            0.029686,            0.010256,           0.0019796,             0.00703,             0.00703,             0.00703
                  32,            0.039632,            0.013951,           0.0030088,             0.72798,             0.68478,             0.73773,             0.38866,            0.029657,            0.010302,           0.0019332,            0.006931,            0.006931,            0.006931
                  33,            0.039726,            0.013835,           0.0029576,             0.73311,             0.68809,             0.74298,             0.39068,            0.029562,            0.010296,           0.0018771,            0.006832,            0.006832,            0.006832
                  34,            0.039257,            0.013779,           0.0027358,              0.7303,             0.69127,             0.74252,             0.39342,             0.02948,            0.010262,           0.0019305,            0.006733,            0.006733,            0.006733
                  35,            0.039063,            0.013959,           0.0028097,             0.73916,             0.69849,             0.74996,             0.40034,            0.029355,            0.010186,           0.0020886,            0.006634,            0.006634,            0.006634
                  36,            0.039062,            0.013623,           0.0027866,             0.74026,             0.69474,             0.75091,             0.39979,            0.029467,            0.010226,           0.0020091,            0.006535,            0.006535,            0.006535
                  37,            0.038639,            0.013659,           0.0029387,             0.74008,              0.6909,             0.74494,             0.39974,            0.029338,            0.010291,            0.001962,            0.006436,            0.006436,            0.006436
                  38,            0.038703,            0.013531,           0.0028051,             0.74408,             0.69911,             0.75303,             0.40345,             0.02926,            0.010251,           0.0019635,            0.006337,            0.006337,            0.006337
                  39,            0.038389,            0.013611,           0.0027777,             0.73379,             0.70623,             0.75428,             0.40176,            0.029399,            0.010245,           0.0019677,            0.006238,            0.006238,            0.006238
                  40,              0.0382,            0.013415,           0.0027407,             0.74455,             0.70378,             0.75434,             0.40348,            0.029264,            0.010194,           0.0020366,            0.006139,            0.006139,            0.006139
                  41,            0.037963,            0.013325,           0.0027158,             0.73613,             0.69944,             0.75424,             0.40383,            0.029226,            0.010209,           0.0020643,             0.00604,             0.00604,             0.00604
                  42,            0.037986,            0.013432,           0.0026581,             0.73547,             0.70486,             0.75248,             0.40213,            0.029236,            0.010223,           0.0020885,            0.005941,            0.005941,            0.005941
                  43,            0.038139,            0.013488,           0.0025409,             0.74729,             0.69752,             0.75278,              0.4044,            0.029169,            0.010225,           0.0021162,            0.005842,            0.005842,            0.005842
                  44,            0.037578,            0.013222,           0.0026129,             0.74201,             0.70292,             0.75467,             0.40464,            0.029139,            0.010223,           0.0021785,            0.005743,            0.005743,            0.005743
                  45,            0.037633,            0.013248,           0.0026829,               0.745,             0.70044,             0.75311,             0.40467,            0.029125,            0.010228,           0.0021502,            0.005644,            0.005644,            0.005644
                  46,            0.037512,            0.013097,           0.0026763,             0.75187,             0.69434,             0.75389,             0.40486,            0.029181,            0.010233,           0.0020654,            0.005545,            0.005545,            0.005545
                  47,            0.037412,            0.013261,           0.0026774,             0.74627,             0.69703,             0.75509,             0.40622,            0.029169,            0.010213,           0.0020126,            0.005446,            0.005446,            0.005446
                  48,             0.03705,            0.012982,           0.0025238,             0.74653,             0.70711,             0.75737,             0.40716,            0.029181,            0.010212,           0.0019943,            0.005347,            0.005347,            0.005347
                  49,             0.03699,             0.01301,           0.0025415,              0.7415,             0.71185,             0.75938,             0.40902,            0.029198,            0.010216,           0.0019848,            0.005248,            0.005248,            0.005248
                  50,            0.036678,             0.01301,           0.0025106,              0.7376,             0.70867,             0.75751,              0.4091,            0.029179,             0.01021,           0.0019714,            0.005149,            0.005149,            0.005149
                  51,            0.036558,            0.013081,           0.0024656,             0.75132,             0.69868,             0.75879,              0.4101,            0.029157,            0.010197,           0.0019713,             0.00505,             0.00505,             0.00505
                  52,            0.036433,            0.012924,           0.0025859,             0.74934,             0.70586,              0.7597,             0.41054,             0.02916,            0.010197,            0.001971,            0.004951,            0.004951,            0.004951
                  53,            0.036347,            0.012956,            0.002406,             0.75571,             0.69986,             0.75945,             0.40995,            0.029169,            0.010207,           0.0020117,            0.004852,            0.004852,            0.004852
                  54,            0.036309,             0.01285,           0.0024354,             0.74587,             0.70426,             0.75889,             0.41067,            0.029134,            0.010213,           0.0020545,            0.004753,            0.004753,            0.004753
                  55,            0.036186,            0.012771,           0.0024192,             0.75258,             0.69942,             0.75846,             0.41149,            0.029107,            0.010216,           0.0020752,            0.004654,            0.004654,            0.004654
