               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096881,            0.022964,            0.022211,             0.54574,            0.071105,            0.020967,           0.0049968,            0.061881,            0.015854,           0.0093176,            0.070028,           0.0033302,           0.0033302
                   1,            0.079219,            0.022107,             0.01109,             0.15123,             0.18595,            0.071478,            0.020062,            0.054995,            0.015826,           0.0060734,            0.039962,           0.0065976,           0.0065976
                   2,            0.069588,            0.021283,           0.0082261,              0.2796,             0.30998,             0.19102,            0.061062,            0.050635,            0.018274,           0.0061792,           0.0098299,            0.009799,            0.009799
                   3,            0.062642,            0.019844,           0.0071193,             0.33235,             0.37735,             0.27096,             0.10112,            0.044372,            0.013997,           0.0033378,            0.009703,            0.009703,            0.009703
                   4,            0.058138,            0.019282,           0.0060687,             0.45093,              0.4302,             0.39013,             0.14952,            0.040726,            0.013163,           0.0029962,            0.009703,            0.009703,            0.009703
                   5,            0.055791,            0.018721,           0.0058097,             0.46347,             0.47877,              0.4329,             0.17277,            0.039128,            0.012859,           0.0029362,            0.009604,            0.009604,            0.009604
                   6,            0.054318,            0.018469,           0.0055628,             0.51491,             0.49562,             0.46779,             0.19279,            0.037972,            0.012707,           0.0029276,            0.009505,            0.009505,            0.009505
                   7,            0.052898,            0.018071,           0.0051994,              0.5657,             0.49939,             0.50298,             0.21067,            0.037922,            0.012494,           0.0029451,            0.009406,            0.009406,            0.009406
                   8,              0.0524,            0.017641,            0.005269,             0.54716,             0.51679,             0.50865,             0.22148,            0.037162,            0.012386,           0.0026625,            0.009307,            0.009307,            0.009307
                   9,             0.05124,            0.017486,            0.005085,             0.57097,             0.54294,             0.54443,             0.23531,            0.036088,            0.012093,           0.0026157,            0.009208,            0.009208,            0.009208
                  10,            0.050835,             0.01734,           0.0049248,             0.58205,             0.54044,             0.54629,              0.2407,            0.035971,            0.012001,           0.0025543,            0.009109,            0.009109,            0.009109
                  11,             0.05014,            0.017136,           0.0047835,             0.58164,             0.54111,             0.54913,             0.24353,            0.035734,            0.012079,           0.0027199,             0.00901,             0.00901,             0.00901
                  12,            0.049625,            0.017086,           0.0047099,             0.62038,              0.5599,             0.58853,              0.2681,            0.034604,            0.011808,           0.0024138,            0.008911,            0.008911,            0.008911
                  13,            0.049086,            0.017158,           0.0045926,             0.61586,             0.56325,             0.58627,             0.26342,            0.034944,            0.011757,           0.0025723,            0.008812,            0.008812,            0.008812
                  14,            0.048696,              0.0169,           0.0045503,             0.64107,             0.57448,             0.60448,             0.27843,            0.034165,            0.011604,           0.0022461,            0.008713,            0.008713,            0.008713
                  15,            0.048021,            0.016488,           0.0045389,             0.64807,             0.59077,             0.61373,              0.2827,            0.034099,            0.011558,           0.0022448,            0.008614,            0.008614,            0.008614
                  16,            0.047734,            0.016645,           0.0043635,             0.65615,             0.58466,             0.62558,             0.29484,            0.033387,            0.011442,           0.0022942,            0.008515,            0.008515,            0.008515
                  17,             0.04732,            0.016567,            0.004355,             0.62465,             0.58402,             0.61677,             0.28628,            0.033768,            0.011396,           0.0023735,            0.008416,            0.008416,            0.008416
                  18,            0.047091,             0.01643,           0.0044206,             0.66752,               0.596,             0.64018,             0.30931,            0.032963,            0.011224,            0.002139,            0.008317,            0.008317,            0.008317
                  19,            0.046856,            0.016372,           0.0041704,              0.6553,             0.61164,             0.64708,             0.30935,            0.032976,            0.011289,           0.0021557,            0.008218,            0.008218,            0.008218
                  20,            0.046735,             0.01625,            0.004173,             0.67298,             0.60163,             0.64836,             0.31149,            0.032869,            0.011231,           0.0021194,            0.008119,            0.008119,            0.008119
                  21,            0.046509,            0.016132,           0.0041483,             0.67303,              0.6205,             0.66031,             0.32126,            0.032463,            0.011106,           0.0021323,             0.00802,             0.00802,             0.00802
                  22,            0.046184,            0.015984,           0.0041425,             0.68147,             0.62887,             0.66551,             0.31842,            0.032394,            0.011055,           0.0020894,            0.007921,            0.007921,            0.007921
                  23,            0.045735,            0.016069,           0.0040083,             0.67933,             0.62357,             0.66609,             0.32693,            0.032194,            0.010969,           0.0020006,            0.007822,            0.007822,            0.007822
                  24,            0.045631,            0.016014,           0.0040201,             0.67574,              0.6224,              0.6697,             0.32933,            0.031884,            0.010969,           0.0018983,            0.007723,            0.007723,            0.007723
                  25,            0.045408,            0.016033,           0.0040221,             0.70426,             0.61971,                0.68,             0.33731,            0.031822,            0.010866,           0.0019215,            0.007624,            0.007624,            0.007624
                  26,            0.045202,            0.016013,           0.0039857,             0.69578,             0.62711,             0.68275,             0.33837,            0.031821,             0.01088,           0.0020177,            0.007525,            0.007525,            0.007525
                  27,            0.044973,            0.015838,           0.0039984,             0.70492,             0.62681,             0.68933,             0.34479,            0.031534,            0.010779,            0.001974,            0.007426,            0.007426,            0.007426
                  28,             0.04466,            0.015854,           0.0037865,             0.69111,             0.63741,             0.68978,             0.34394,            0.031527,            0.010792,           0.0019716,            0.007327,            0.007327,            0.007327
                  29,            0.044457,             0.01567,           0.0038818,             0.69444,               0.635,             0.69026,             0.34618,            0.031409,            0.010714,           0.0019316,            0.007228,            0.007228,            0.007228
                  30,            0.044466,            0.015618,           0.0038738,             0.71274,             0.64144,             0.70108,             0.35592,            0.031109,            0.010667,           0.0018983,            0.007129,            0.007129,            0.007129
                  31,            0.044306,            0.015577,           0.0038937,             0.71639,             0.63993,             0.70553,             0.36187,            0.031068,            0.010643,           0.0018568,             0.00703,             0.00703,             0.00703
                  32,            0.044072,            0.015546,           0.0038464,             0.71049,             0.64591,             0.70785,             0.36064,            0.031054,            0.010635,           0.0018745,            0.006931,            0.006931,            0.006931
