               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.038623,            0.013492,           0.0027511,             0.76575,             0.72423,             0.77506,             0.42213,             0.02893,            0.009759,           0.0018117,            0.006535,            0.006535,            0.006535
                  37,            0.038476,            0.013593,           0.0029542,             0.76943,             0.72613,             0.77392,             0.42213,            0.028717,           0.0097638,           0.0017785,            0.006436,            0.006436,            0.006436
                  38,            0.038377,            0.013393,           0.0027427,             0.77036,             0.72773,             0.77376,             0.42299,            0.028663,           0.0097335,           0.0018567,            0.006337,            0.006337,            0.006337
                  39,            0.038005,            0.013446,           0.0027484,             0.76373,             0.73157,             0.77678,             0.42323,            0.028669,           0.0097399,           0.0018664,            0.006238,            0.006238,            0.006238
                  40,            0.037944,            0.013248,           0.0027341,             0.76792,             0.73517,             0.78048,             0.42738,            0.028604,           0.0096821,           0.0017902,            0.006139,            0.006139,            0.006139
                  41,            0.037592,            0.013173,           0.0027092,              0.7728,             0.73145,             0.78006,             0.42899,            0.028619,           0.0096721,           0.0017832,             0.00604,             0.00604,             0.00604
                  42,            0.037588,            0.013224,           0.0025873,             0.78038,             0.72898,             0.78173,             0.43117,            0.028603,           0.0096709,           0.0018017,            0.005941,            0.005941,            0.005941
                  43,             0.03766,            0.013314,           0.0025445,             0.77242,             0.73602,             0.78504,             0.43259,            0.028594,           0.0096513,           0.0018554,            0.005842,            0.005842,            0.005842
                  44,            0.037285,            0.013112,           0.0025869,             0.77851,             0.73508,             0.78682,             0.43234,            0.028621,           0.0096486,           0.0018676,            0.005743,            0.005743,            0.005743
                  45,            0.037304,            0.013147,           0.0026753,             0.77673,             0.73965,             0.78782,             0.43343,             0.02866,            0.009653,            0.001848,            0.005644,            0.005644,            0.005644
                  46,            0.037118,            0.012984,            0.002654,             0.77933,             0.73924,             0.78684,             0.43279,            0.028631,           0.0096559,           0.0018339,            0.005545,            0.005545,            0.005545
                  47,            0.037069,            0.013106,           0.0026853,             0.77799,             0.74021,             0.78926,             0.43399,            0.028586,           0.0096478,           0.0018321,            0.005446,            0.005446,            0.005446
                  48,            0.036867,            0.012934,           0.0024626,             0.78411,             0.73376,             0.78837,             0.43561,            0.028558,           0.0096347,           0.0018288,            0.005347,            0.005347,            0.005347
                  49,            0.036698,            0.012924,           0.0025144,             0.78167,             0.73492,             0.78745,             0.43541,            0.028545,           0.0096394,           0.0018325,            0.005248,            0.005248,            0.005248
                  50,            0.036393,            0.012914,           0.0024406,             0.78773,             0.73058,             0.78577,             0.43518,            0.028495,           0.0096448,            0.001828,            0.005149,            0.005149,            0.005149
