               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.038828,            0.013561,           0.0027732,              0.7731,              0.7028,             0.76486,             0.41542,            0.029345,           0.0098891,           0.0021547,            0.006535,            0.006535,            0.006535
                  37,            0.038593,            0.013617,           0.0029666,             0.76059,             0.71076,             0.76734,              0.4191,            0.029045,           0.0098306,           0.0021029,            0.006436,            0.006436,            0.006436
                  38,            0.038465,            0.013484,           0.0027785,             0.76137,             0.70939,             0.76442,             0.41796,            0.029105,           0.0098467,           0.0021647,            0.006337,            0.006337,            0.006337
                  39,            0.038131,            0.013499,           0.0027553,             0.76696,             0.71385,             0.76911,              0.4172,            0.029171,           0.0098513,           0.0022257,            0.006238,            0.006238,            0.006238
                  40,             0.03795,            0.013291,           0.0026906,             0.76915,             0.71664,             0.77199,             0.42118,            0.029115,           0.0098024,           0.0021765,            0.006139,            0.006139,            0.006139
                  41,            0.037701,            0.013248,           0.0026874,             0.76856,             0.72032,             0.77398,             0.42426,            0.029078,            0.009759,            0.002135,             0.00604,             0.00604,             0.00604
                  42,            0.037729,            0.013293,           0.0026277,             0.77416,             0.71911,             0.77364,             0.42482,            0.029018,           0.0097455,           0.0021374,            0.005941,            0.005941,            0.005941
                  43,            0.037813,            0.013388,           0.0026064,             0.77231,             0.71551,             0.77506,             0.42621,            0.028931,           0.0097428,           0.0021559,            0.005842,            0.005842,            0.005842
                  44,            0.037422,            0.013174,           0.0026147,             0.77494,             0.71505,             0.77514,             0.42679,            0.028902,           0.0097587,           0.0021949,            0.005743,            0.005743,            0.005743
                  45,            0.037495,            0.013209,           0.0026859,             0.76463,             0.72127,             0.77551,             0.42726,            0.028932,           0.0097645,           0.0021762,            0.005644,            0.005644,            0.005644
                  46,            0.037366,            0.013079,           0.0026805,             0.76131,             0.72474,             0.77511,             0.42691,            0.028897,           0.0097755,           0.0021342,            0.005545,            0.005545,            0.005545
                  47,             0.03724,            0.013202,           0.0026501,             0.77081,             0.72348,             0.77794,             0.42805,            0.028855,           0.0097765,           0.0021229,            0.005446,            0.005446,            0.005446
                  48,            0.036977,            0.012906,            0.002461,             0.77507,             0.72038,              0.7766,             0.42908,            0.028844,           0.0097768,           0.0021264,            0.005347,            0.005347,            0.005347
                  49,            0.036815,            0.012981,           0.0025281,             0.77509,             0.72448,             0.77699,             0.43006,            0.028856,            0.009778,           0.0021309,            0.005248,            0.005248,            0.005248
                  50,             0.03652,            0.012989,           0.0024671,             0.77394,             0.73277,             0.77787,             0.43031,            0.028866,           0.0097682,           0.0021212,            0.005149,            0.005149,            0.005149
                  51,            0.036453,             0.01305,           0.0024869,             0.77312,             0.73257,             0.77789,             0.43092,            0.028853,           0.0097683,           0.0021362,             0.00505,             0.00505,             0.00505
                  52,             0.03627,            0.012874,           0.0025849,             0.77092,             0.73203,             0.77828,             0.43065,            0.028818,           0.0097731,           0.0021305,            0.004951,            0.004951,            0.004951
                  53,             0.03616,            0.012885,           0.0023835,             0.77527,             0.73382,             0.77825,             0.43119,            0.028804,           0.0097755,           0.0021327,            0.004852,            0.004852,            0.004852
                  54,            0.036153,             0.01276,           0.0024348,             0.77591,             0.73428,             0.77891,             0.43275,            0.028791,           0.0097756,           0.0021321,            0.004753,            0.004753,            0.004753
                  55,             0.03602,            0.012706,           0.0024632,             0.77367,             0.73378,             0.77835,             0.43244,            0.028784,           0.0097801,           0.0021155,            0.004654,            0.004654,            0.004654
                  56,            0.035777,            0.012688,           0.0023291,             0.77289,             0.73483,             0.77908,             0.43232,            0.028792,           0.0097734,           0.0021157,            0.004555,            0.004555,            0.004555
                  57,            0.035658,            0.012628,           0.0022742,              0.7721,             0.73811,             0.77971,             0.43316,            0.028795,           0.0097694,           0.0021221,            0.004456,            0.004456,            0.004456
                  58,            0.035486,            0.012544,           0.0024779,             0.77322,             0.73886,             0.77988,             0.43379,            0.028805,            0.009772,           0.0021293,            0.004357,            0.004357,            0.004357
                  59,            0.035171,            0.012439,           0.0023113,              0.7706,             0.74117,             0.78046,             0.43415,            0.028811,           0.0097753,           0.0021333,            0.004258,            0.004258,            0.004258
                  60,            0.035162,            0.012501,           0.0022862,             0.77263,             0.74221,             0.78124,             0.43433,              0.0288,           0.0097797,           0.0021327,            0.004159,            0.004159,            0.004159
                  61,             0.03489,            0.012352,           0.0022956,             0.77483,             0.74129,             0.78154,             0.43452,             0.02879,           0.0097802,           0.0021353,             0.00406,             0.00406,             0.00406
                  62,            0.034815,            0.012439,           0.0024075,             0.77199,             0.74368,             0.78091,             0.43426,            0.028771,           0.0097853,           0.0021379,            0.003961,            0.003961,            0.003961
                  63,            0.034616,            0.012338,           0.0021562,              0.7738,             0.74073,             0.78047,             0.43443,            0.028753,           0.0097878,           0.0021559,            0.003862,            0.003862,            0.003862
                  64,            0.034596,             0.01231,           0.0022198,             0.77517,              0.7393,             0.78066,             0.43441,            0.028743,           0.0097914,           0.0021589,            0.003763,            0.003763,            0.003763
                  65,            0.034479,            0.012277,           0.0022017,             0.77727,             0.73943,             0.78161,             0.43459,             0.02874,           0.0097915,           0.0021667,            0.003664,            0.003664,            0.003664
                  66,             0.03425,            0.011912,           0.0021852,             0.77609,             0.73956,             0.78047,             0.43446,            0.028733,           0.0097917,           0.0021725,            0.003565,            0.003565,            0.003565
                  67,            0.034033,            0.012233,           0.0020893,             0.77603,             0.73924,             0.78072,             0.43459,            0.028729,           0.0097952,           0.0021742,            0.003466,            0.003466,            0.003466
                  68,            0.033714,            0.012035,           0.0021752,             0.77572,              0.7398,             0.78116,              0.4351,            0.028725,           0.0097984,           0.0021727,            0.003367,            0.003367,            0.003367
                  69,            0.033708,            0.011994,           0.0022191,              0.7762,             0.73978,             0.78123,             0.43537,            0.028714,           0.0097996,           0.0021724,            0.003268,            0.003268,            0.003268
                  70,            0.033633,            0.011848,           0.0021079,             0.77593,             0.73886,             0.78142,              0.4364,            0.028712,           0.0098011,           0.0021677,            0.003169,            0.003169,            0.003169
                  71,             0.03341,            0.011873,           0.0021931,             0.77858,             0.73649,             0.78033,              0.4369,            0.028711,           0.0098028,           0.0021682,             0.00307,             0.00307,             0.00307
                  72,            0.033098,            0.011824,           0.0019572,             0.78027,              0.7336,             0.78041,             0.43665,            0.028708,           0.0098044,           0.0021713,            0.002971,            0.002971,            0.002971
                  73,             0.03295,            0.011816,           0.0020602,             0.78155,              0.7319,             0.78074,             0.43723,            0.028709,           0.0098064,           0.0021713,            0.002872,            0.002872,            0.002872
                  74,            0.032805,            0.011709,            0.001921,             0.78251,             0.73239,             0.78085,             0.43724,            0.028711,           0.0098105,           0.0021747,            0.002773,            0.002773,            0.002773
                  75,            0.032553,            0.011604,           0.0020116,             0.78272,             0.73423,             0.78071,             0.43733,            0.028713,            0.009816,           0.0021768,            0.002674,            0.002674,            0.002674
                  76,            0.032471,            0.011494,           0.0019678,             0.78232,              0.7361,              0.7808,             0.43739,            0.028714,           0.0098193,           0.0021773,            0.002575,            0.002575,            0.002575
                  77,            0.032341,            0.011489,           0.0020361,             0.78201,             0.73672,             0.78029,             0.43725,            0.028711,           0.0098207,           0.0021771,            0.002476,            0.002476,            0.002476
                  78,            0.032068,            0.011461,           0.0018981,             0.77977,             0.73759,             0.78035,             0.43766,            0.028704,            0.009823,            0.002176,            0.002377,            0.002377,            0.002377
                  79,             0.03184,            0.011367,           0.0019796,             0.78094,             0.73729,             0.78007,             0.43819,            0.028698,            0.009826,           0.0021784,            0.002278,            0.002278,            0.002278
                  80,            0.031632,            0.011234,           0.0018061,              0.7822,             0.73492,             0.78028,             0.43804,            0.028695,           0.0098292,           0.0021794,            0.002179,            0.002179,            0.002179
                  81,            0.031427,            0.011209,           0.0018279,             0.78231,             0.73511,             0.78054,             0.43851,            0.028697,           0.0098331,           0.0021802,             0.00208,             0.00208,             0.00208
                  82,            0.031453,            0.011258,           0.0018896,             0.78234,             0.73573,             0.78079,             0.43866,            0.028698,           0.0098369,           0.0021806,            0.001981,            0.001981,            0.001981
                  83,            0.031277,            0.011199,           0.0018228,             0.78399,              0.7349,             0.78068,             0.43872,              0.0287,           0.0098405,           0.0021825,            0.001882,            0.001882,            0.001882
                  84,            0.031071,            0.011022,           0.0018035,             0.78684,             0.73524,             0.78057,             0.43857,            0.028702,           0.0098448,           0.0021836,            0.001783,            0.001783,            0.001783
                  85,            0.030727,            0.011051,           0.0017514,             0.78813,             0.73363,             0.78031,             0.43889,            0.028703,            0.009849,           0.0021824,            0.001684,            0.001684,            0.001684
                  86,             0.03056,            0.010798,           0.0018639,             0.78911,             0.73389,             0.78084,             0.43889,            0.028705,           0.0098524,           0.0021824,            0.001585,            0.001585,            0.001585
                  87,            0.030425,            0.010891,           0.0018107,              0.7886,             0.73208,             0.78069,             0.43938,            0.028707,           0.0098572,           0.0021852,            0.001486,            0.001486,            0.001486
